"filename", "language", "Properties", "JavaScript", "Markdown", "XML", "JSON", "HTML", "JavaScript JSX", "CSS", "comment", "blank", "total"
"e:\Projects\Office\nurselink-admin\src\pages\HomeLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 151, 0, 12, 2, 165
"e:\Projects\Office\nurselink-admin\src\pages\NurseStation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 16, 3, 33
"e:\Projects\Office\nurselink-admin\src\pages\Patient.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 310, 0, 7, 13, 330
"e:\Projects\Office\nurselink-admin\src\pages\PatientCallingRemote.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"e:\Projects\Office\nurselink-admin\src\pages\Ward_Cabin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 286, 0, 32, 14, 332
"e:\Projects\Office\nurselink-admin\src\store.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 1, 6, 46
"e:\Projects\Office\nurselink-admin\src\utils\DoctorOptions.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 2, 4, 28
"e:\Projects\Office\nurselink-admin\src\utils\FloorOptions.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 1, 4, 27
"e:\Projects\Office\nurselink-admin\src\utils\NurseOptions.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 1, 4, 28
"e:\Projects\Office\nurselink-admin\src\utils\PatientOptions.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 1, 4, 27
"e:\Projects\Office\nurselink-admin\src\utils\RemoteOptions.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 1, 4, 27
"e:\Projects\Office\nurselink-admin\src\utils\WardOptions.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 1, 4, 27
"e:\Projects\Office\nurselink-admin\tailwind.config.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 1, 1, 9
"e:\Projects\Office\nurselink-admin\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 1, 1157, 5, 1, 10783, 13, 3263, 3, 334, 243, 15803
